OutageID,Date,ServiceType,ServiceProvider,OutageType,Duration,AffectedAreas,Description
4423,2021-10-17,Pay TV,Airtel,Service,17.10404049371922,Thomashaven,Ability police happen together.
7841,2022-06-30,Pay TV,Etisalat,Downtime,16.719198814418647,Georgeside,Staff bar much.
3747,2022-10-28,Pay TV,Etisalat,Downtime,7.912461670405058,Crystalberg,Really past attention low system respond.
2798,2023-09-14,Pay TV,Airtel,Downtime,21.309589203274967,Cassandraville,Audience tell information four Democrat choice science last.
6047,2022-10-02,Pay TV,MTN,Service,13.99467267650244,Reginaldside,Class surface our community on state.
3316,2023-05-31,Telecom,MTN,Network,13.268567321170833,West Maryview,Rise mind also myself.
3602,2023-06-08,Pay TV,Glo,Service,4.721801905095299,South Jenniferstad,Entire technology situation within certain house suffer.
5978,2023-05-24,Pay TV,MTN,Downtime,14.643216418541048,Bradleyville,Could recognize be opportunity eye.
4548,2022-08-21,Pay TV,MTN,Network,4.896101590348017,Port Charlesmouth,Little ago resource best take.
8187,2022-09-29,Telecom,MTN,Service,16.009276866017412,Port Kathleen,Great price why consumer idea sea western.
5027,2022-02-17,Pay TV,Glo,Network,13.938687968960707,North James,Meeting cost world task.
9474,2023-04-17,Telecom,Etisalat,Downtime,7.105341865013853,South Jenniferport,Simple ok save experience leg reason yet.
6658,2022-08-18,Telecom,MTN,Downtime,9.179365038460523,Campbellshire,Try radio nation upon.
892,2021-10-29,Telecom,MTN,Service,6.122879400341466,Sarahbury,Near far usually safe age day former.
7968,2022-12-12,Pay TV,Etisalat,Network,17.491319752615127,Victorburgh,Seek hard different by country what.
1536,2022-03-02,Pay TV,Airtel,Network,0.5437260425686709,Gibsonfort,Important eat require nature cost.
2132,2023-06-16,Telecom,MTN,Downtime,15.477599097551277,Port Melissatown,Set cup want.
3166,2023-01-18,Pay TV,Etisalat,Network,11.973690217996921,Samuelport,Create notice whether food your responsibility relationship.
2872,2023-01-26,Pay TV,Etisalat,Service,6.173919084996348,Alexandertown,Lead himself loss area white specific.
9777,2023-09-14,Pay TV,Glo,Downtime,2.7608490563832513,Port Jason,Teacher dinner national.
409,2022-07-25,Telecom,Etisalat,Service,23.074765467061695,Blankenshipfurt,Office sit upon somebody.
7226,2022-12-13,Telecom,Glo,Network,8.796683849882049,Johnstonside,Focus serve good memory land.
6233,2022-06-17,Pay TV,Glo,Service,17.826121865292517,North Sierra,Follow middle offer.
6440,2023-03-01,Telecom,MTN,Network,9.908638967604057,Kyletown,Visit by produce.
6055,2023-05-04,Telecom,Etisalat,Downtime,15.143026889886938,Gonzalezside,More professional recognize to size.
5288,2022-09-16,Telecom,Etisalat,Network,5.503216842572207,Oliverbury,Should remember through available Congress tonight.
1661,2022-10-22,Pay TV,Etisalat,Service,16.146495313201328,Matthewtown,Subject south administration young center bring.
5355,2022-11-08,Pay TV,Glo,Downtime,6.664680434087541,Lopezland,Several old contain.
4024,2022-04-28,Pay TV,MTN,Network,22.224973890162907,North Natalie,Fish property head media something why.
